,food_aspect,service_aspect,ambience_aspect
2283,"'enjoyed our dinner', 'fast food restaurant', 'eggslut',","'very friendly', 'felt welcome'","'ambiance is very chill and relax', 'theme of the eggs everywhere'"
2284,Great food ,"great spirits from the staffs, especially NC! Told us how to redeem free food as well! 😜 ",
2285,"relatively fast, truffle hashbrown, eggilicious burgers",,
2286,'the food was great',"'the service was outstanding', amb: 'th",'the ambience was perfect for a date night'
2287,"'Brioche bun is the star, quality wise'",,
2288,"The brioche buns are the star for me, soft, fluffy, and buttery! Can be a little on the greasy side though, but bacon is crispy and every mouthful is juicy. ",Service is pretty standard. Good enough! ,
2289,egg sandwich,"Grab a seat, order and wait for your buzzer to go off",Comfortable casual
2290,"Fairfax eggs are very salty, bacon sandwich is extremely salty, I can only taste the saltiness and that's all",,
2291,"greasy, cheese burger,","watched customers wiping down their own table, Not very busy,","dirty, free tables, posh McD"
2292,"Egg burger was alright, truffle hashbrown was quite nice ",NA ,
2293,"scrambled egg was well made, Fairfax and Bacon,Eggs and Cheese burger, Fairfax burger was better, would have been perfect if...",queued for around 20mins,
2294,"'Food is good. The egg cheese and bacon is tasty, so is the gaucho but its a bit pricey for what it is.'","'Coffees are ok, not great.'",
2295,The sausage and egg burger was super yummy! Although the yolk got everywhere... It was quite messy 😅 but tasty nonetheless.,,
2296,'The food was delicious',"'The staff was friendly', amb: 'Th",'The ambience was cozy'
2297,Creamy eggs with the right consistency in the Fairfax sandwich but it can be quite a mess to eat and a tad oily. I loved the sriracha mayo and caramelised onions,"Dropped by on a Friday night and didn’t need to queue, tables were available",
2298,Awesome egg burgers,,
2299,'most delicious hash browns',,
2300,'very delicious','severely over priced and over hyped',
2301,The quality of the ingredients is top notch and the preparation is second to none,"The service is friendly and efficient, amb: Th",The ambience is cozy and inviting.
2302,"not bad, not that good, prices too high, $12 for a bun with just eggs/cheese and some onions, rather eat Shake Shack",,
2303,"""the food is okay"" ","""the vibe and staffs"" ","""I love the vibe and staffs"""
2304,"'Great place with great food', 'But need to improve on burgers', 'Truffles Harshbrown was so perfect for us'",,
2305,'lousy food','lousy coffee',
2306,,10/10,10/10 ❤️❤️❤️❤️❤️
2307,"bacon egg and cheese was basically a ketchup sandwich, it was so bad. I literally had to look to see if there was an egg because I honestly thought maybe they forgot",,
2308,,great service and very friendly,
2309,Eggs,,
2310,"fluffy eggs pairs well with the caramelized onion and also the cheddar cheese, brioche bun, texture, white coffee, fairfax,",no queue at all,
2311,,,Different and highly enjoyable.
2312,,,In love with the design 😂 ...
2313,'Yummyy' ,'impeccable','very cozy'
2314,truffle hash brown ,flexibility of replacing the sandwich with a salad (at no extra cost) ,
2315,Delicious,service,relaxing
2316,"Delicious food in general, Got recommended the biscuit, For egg lovers, Serving can be too huge for ladies",fast service,
2317,'The bacon sandwich is good','counter service is good today','This whole joint feels like u being in NYC.'
2318,Various concoction of eggs. It is good and delicious.,"It want something quick, fast and inexpensive, then this is your place to come and have some.",
2319,The food was excellent. The flavors were well balanced and the portion size was generous.,The service was friendly and attentive.,The atmosphere was inviting and the restaurant was very clean.
2320,"cheeseburger, Fairfax, brioche burger buns, oily, paper,","no queue,","early Sunday morning, just after 8am"
2321,"Gaucho & Fairfax + chicken sausage, truffle hashbrowns, orange juice, Didn't like the Gaucho, just wasn't justifying the more than 2x price tag. ",,
2322,Taste is nothing special,,
2323,"'Food was great, worth the money really'","'Service, however, could be better. Your cashier seemed friendly enough but your...'",'Place seems nice and spacious.'
2324,Nice egg sandwich,,
2325,enjoy burger,,
2326,"Arrived eggslut at about 3+ in the afternoon with not much people and no queue at all. Upon collecting our food, we asked them for a knife to cut our burgers for sharing portions instead.",Service needs a whole lot of improvement.,
2327,,,'Don't really see why people queue to get in'
2328,"flavourful truffle hashbrowns, very rich egg Fairfax, Nice patties in the cheeseburger, recommended",,
2329,"'cooked to perfection', 'brioche buns were also soft, fluffy with generous amounts of butter', 'wholesome experience', 'regular breakfast place',",,
2330,"okay sandwich shop, nothing spectacular, Price too high,",,
2331,Gaucho sandwich has yummy beef in it!,short queue!,
2332,The food was delicious ,"The service was fast and friendly , amb: Th",The ambience was cozy and inviting
2333,My 1st trial in their sandwich is really tasty. Well burgers are big,,
2334,Fairfax burger was peppery which is different from the last time I tried. Disappointing. The other burgers were definitely better!,,
2335,egg salad burger,,
2336,"fairfax burger, hashbrown, truffle, normal hashbrowns",,
2337,Eggscellent experience!😋,,
2338,the food was nice especially the bun was very soft and the truffle potato a bit too oily overall is above average,sitting is a bit too less,
2339,"overpriced, portion too small, spent more than 50 for 2 pax, left feeling hungry,",,
2340,,,
2341,"'good', 'hype', 'price point', 'not that great'",,
2342,nothing too special or memorable,it's alright,good to try it once but that's it
2343,"Amazing burgers, egg experience, out of this world",,
2344,burgers were still good,,
2345,"two burgers, one special (Egg with potatoes and bread $11), two drinks",,
2346,highest quality ,,
2347,Great food,quick service,
2348,'love the food it was good. extremely filling','great staff','nice atmosphere'
2349,Just normal burger with scramble egg,Price not met the expectation,
2350,'Food itself is not very interesting. Taste is just ok. Hashbrowns do stand out: original and good taste.',"'Noisy, not very clean, long wait for food (20 mins). Expensive.'","'Not very clean. Lots of hype, didn't live up to promise. Unlikely to go back.'"
2351,taste good at the start but eventually you will feel a little too oily,,
2352,"Buttermilk biscuit very dry, Burger is ok but not worth the price for the ingredients used and the quality",,
2353,"Buns and eggs were soft, Chicken sausage was a little too salty, Coffee was pretty decent. ",Not much of a queue close to lunch time.,
2354,,,Nice
2355,"'Got the sausage, egg & cheese sandwich($12), replaced the cage-free over medium egg with the scrambled egg for an additional $1.5'",,
2356,'Sandwiches were lukewarm only','The service was friendly and fast','The atmosphere was cozy and inviting'
2357,,"The service was excellent, the staffs were helpful in assisting us to choose our orders.",The place was clean & spacious.
2358,100% over rated,,
2359,"Egg Salad, Bacon, Ice White",,
2360,"""Single burger"", ""Burger was thin"", ""Brioche is way too oily"", ""Egg was probably the best, very running"" ",,
2361,"Egg-cellent Egg-perience with the Fairfax Egg Sandwich, specialty- “the slut”",queue for the food,Check it out during off peak hours
2362,"portion is small and price is a bit high for just an egg, some bacon and bread, food itself is so so, not as good as shack shake (too much ketchup!)",,
2363,"Solid,",,brunch place
2364,The name is more eggciting then the food.,Great for photos!!,
2365,"mashed potatoes with the egg on top is nice and simple, scrambled eggs in the burger seems to have a lot of butter cooked with it",No queue today,quite good
2366,Best burger in town,,
2367,,"Service and ambience were great, amb: Service an",Service and ambience were great
2368,"enjoy the food, preparing the eggs to order",appreciate the amount of effort,
2369,,,
2370,"'Food was decent and quite instagrammable, scrambled egg was great but not quite worth the hype and queue. Price was slightly on the higher end.'",,'The atmosphere was good.'
2371,"No Queue, jus walked in ordered n food served in 10mins, that’s the way.","No Queue, jus walked in ordered n food served in 10mins, that’s the way.",
2372,Taste good,,
2373,both were good but portions were a bit smaller than expected,,
2374,pricy food,,
2375,'yummy! the food was delicious',"'the service was friendly', amb: 'th",'the ambience was cozy'
2376,bacon sandwich,,
2377,"""overpriced"", ""didn't come with meat in it, only scrambled egg $12... added patty for $4.50"", ""hash browns were $6 but soggy"", ""long wait so not worth it!"",","""long wait so not worth it!""",
2378,too greasy for my liking,,too much rave about it
2379,"""eggs"" ","""meh"" ",
2380,very basic burgers taste,,
2381,'good','long queue',
2382,"""the fairfax burger ($12)"", ""the egg was very fluffy and flavorful"", ""the cheeseburger ($14.50)"", ""the patty was super dry"", ""the truffle hash brown ($5.50)"", ""underwhelming""  ","""not much queue anymore"" ",
2383,"Normal tasting egg burgers or sandwiches whatever u call them, $12 per pop, brioche buns which were greasy, sausage McMuffin with egg, fish Fillet, nicer bun, cheaper alternative,",,
2384,,"supervisor was extremely rude, customers like me will never never patronised your store again, Shocking, I am a paying customer not there to beg for free food",
2385,The best eggs in the town,,
2386,awesome burgers,"service ok with the cashier,friendly & helpful, no stirrers or small spoon given to stirr & 1 pkt of sugar given when you order a coffee",
2387,'The food was great',"'but the service was a bit slow', amb: 'Th","'The ambience was pleasant, but the music was too loud.'"
2388,'Good' food,"'average' service, amb: 'poor",'poor' ambience
2389,"""Food is good"", ""egg sandwiches again"", ""The hashbrowns are A+""",,
2390,"The sandwiches are nice, overprics, worth trying,",no more queue,
2391,"'Their iconic Fairfax sandwich', 'Very eggy (lack of a better word) and buttery'",,
2392,'Beautiful and tasty egg sandwich',,
2393,"feeding her camera, sandwich connoisseurs, sandwich, eat,",,"Nice place, suitable for a date"
2394,"Fairmont sandwich, sloppy, flavour average to good, well balanced filling, not special in any way",,breezy
2395,Affordable Special cuisine,,
2396,Food was served rather quickly and entire ordering process to collection was smooth.,Staff at counter was very polite and provided us with the recommendations as it was our first time there.,Tables were clean and organised.
2397,The food was delicious,the service was friendly,the atmosphere was cozy
2398,"Queue system is confusing, I dined in, order,","people who asking me where is the takeout queue, staff said it's free sitting, alot of staff in the kitchen,","Overrated, Good for Instagram photos"
2399,"""tried their food but to our disappointment it was rather overrated. For the price, you can definitely get better standard somewhere else like even Fatburgers.""","""Not too sure what the hype was about.""",
2400,none,"friendly enough, staff did make pretty good recommendations",none
2401,"eggs blend perfectly, prices costly, not value for money",,
2402,quite nice,"some very good, some average",very busy but still nice
2403,Burger meat is poor quality,server did not offer free water service,
2404,'quality of the foods',,"'great casual dining experience', 'location'"
2405,food salt level could improve,,
2406,Just burger with egg,,
2407,'Wow i can't say i like the food here. Its very very rich . Food is like fast food style not my thing',,
2408,,,
2409,"gooey eggs, eggs were made really well, buns were toasted nicely,","Service from the staffs were also prompt and friendly,",Considering the location
2410,"""fresh and delicious""","""friendly""","""warm and inviting"""
2411,scrambled egg,,
2412,"egg sandwich Fairfax with topped up bacon and avocado, fluffy brioche bun, butter in every bite",,
2413,"Delicious breakfast worth every cent, truffle hash browns are phenomenal. ",Service was super quick and staff are helpful. ,
2414,"burgers are rly good, hashbrowns are a must try",very friendly staff,
2415,"Very nice food!, Ate it once in Japan, so happy that it’s in Singapore now!!!",,
2416,'the food taste good','service staff is super friendly and nice','ambience really nice ~'
2417,Great food and my kids love them!,"The service was excellent, amb: Th",The ambience was cozy.
2418,If you like eggs you will enjoy this 👍🏻,,
2419,"'The egg sandwiches are quite tasty', 'I'm not a big fan of egg sandwiches but I still enjoyed myself', 'Would have preferred it if I could choose a different bread from the brioche but they don't have that option', 'I like it though that you can replace the bread with salad', 'Hash browns were really good too.'",'service is good',
2420,Good food ,Excellent service by the person manning the cashier ,overpriced and long queue
2421,'First time trying eggslut and I really like it! I bought the cheeseburger and the bread was nice and the meat was also juicy. Remember to opt for the scramble eggs as it is recommended. The truffle hashbrown is ok as the truffle’s aroma is...',,
2422,"Nice sandwich, fluffy egg",,cozy place
2423,Egg sandwiches are delicious as well as the hash brown and scones. ,Took a while to try this place. ,Need to try at least once to know if this is your thing but it’s popularity speaks for itself.
2424,Fairfax + beef patty was extremely filling. Tastes good. But bun could be more buttery. Slightly dry.,,
2425,"bacon sandwich, tasty, bun was fresh and fluffy, bacon was very salty, seasoned more than usual, good as a lunch meal, not incredibly filling,",,
2426,The first bite is the best! The egg yolk spilt open in my mouth and wow it’s amazing! Mouth watering great!,This burger cost $13.50! I find it acceptable :) definitely worth a try! Went during a week at around 11am and didn’t have to queue much!,
2427,"Heathy egg sandwich, Scrambled eggs were super fluffy and soft, The “slut” (egg with potato puree is super yummy too, nice and smooth texture, Has a chewy texture when pair with the baguettes, But a little on the pricey end",,
2428,soft buns,,
2429,Patty was succulent and became coated with the egg yolk as I was biting into my burger. Buns were soft and grilled to my liking,,
2430,"bacon is good, bun is far too oily, had scrambles but feels normal",,
2431,The bun was very oily and the beef in the burger was very difficult to chew.,,
2432,'the burgers are superb','Awesome',
2433,,"Queue moves fast, spent only 15mins waiting.",
2434,"every time, paying for the brand name, definitely go back for it",,
2435,"The food was good, portion of the scrambled eggs got really small, eating an above average burger, pricey range,",,
2436,"'Breakfast sandwiches were delicious', 'Orange Juice was really good.'",'Very efficient breakfast',
2437,"egg over mash was mostly mash potato at the bottom, making it very filling on its own, burgers were just average,",,
2438,"'The fairfax burger was really good, eggs were so creamy and good'",,
2439,"amazing, must-go",,
2440,"not great, not worth the price,","no more queues,",
2441,,great service,
2442,"nice, price a bit ex",wait part n ordering a bit longer n some items out of stock,over all environment not bad
2443,"Bacon, Egg, and Cheese Sandwich (SGD 12), Overall level: 3/5 ⭐",,
2444,"Had the double cheeseburger, bacon/ham/egg burger and ice latte. Food is good",,"overall, will still visit again in the future!"
2445,"nicely packed, breakfast, Order, takeaway,"," environmentally friendly cardboard boxes,",
2446,creamy scrambled egg sandwich add on bacon,,
2447,"'I dont like the food there', 'Shake shack taste much better'",,
2448,"single cheeseburger with added bacon, sunny side up, fairfax with added avocado, side of hashbrown. ",Not too bad for a first timer ,
2449,,'thank the staff named YL? for managing the crazy queue and being so attentive and professional during my turn',
2450,"""Fairfax with extra patty and it was creamy and nice"", ""Gaucho and it tastes very nice"", ""recommend their gaucho sandwich over Fairfax""  ","""no line"" ",
2451,"burger came lukewarm, bun and patty",,
2452,"'unbelievably delicious place to consume eggs', 'sandwiches', 'biscuit', 'coffee is ok' ",,
2453,Burger was messy but tasted great,"Cashier was friendly and helpful, and offered to send my order to my table","Enter by outside Scotts, not inside"
2454,taste and quality,,
2455,"'overhyped and definitely overpriced', 'half the time I was eating here I was staring at shake shack wondering why I didn’t go there instead… fav item was the hash browns…'",,
2456,The steak was cooked to perfection and the sides were flavorful and delicious,"The service was also top-notch, with the wait staff being attentive and friendly",The atmosphere was cozy and inviting
2457,Good breakfast,get through the queues,
2458,"great burger/sandwich option, relatively affordable prices, specialty is scrambled egg that is fluffy and well seasoned, most sandwiches will come in standard sunny side up, burger patties were moist, 
","NA, 
",
2459,"overhyped, overpriced, oversalted, disappointed, not coming back. ",NA ,
2460,Ordered fairfax and cheeseburger - they’re delicious. Ordered the truffle hashbrown as well and it’s better than McDonald’s!,"Went when there wasn’t a queue, hence its worth the visit!",
2461,"'truffle hashbrowns', 'food here is definitely 5-star quality'",'waiter',
2462,Creamy delicious eggsluts,Coffee's great too!,
2463,"'Very good sausage egg sandwich and the size is pretty big too, ordered side of hash brown also very nice'",,
2464,"truffle hashbrowns, YUMYum, delish",,
2465,Awesome food ,Friendly staff ,Highly recommended
2466,"""the food was amazing""","""the service was great"", amb: ""Th","""The ambience was really cozy and warm"""
2467,"juicy burger, crispy fries,",friendly service,cozy atmosphere
2468,the food was amazing,the service was great,the atmosphere was cozy and inviting
2469,juicy patty and toasted bun,very friendly,cozy and inviting
2470,"""The most of egg options were good"", ""Didn't like the burger""",,
2471,"egg burger, tastes good, overpriced  ",NA ,"good place for brunch, 3.5-4 stars"
2472,"""Can eat lah, but there's better food around the area.""",,
2473,Delicious truffle hash - a must try! I love their chicken sausage sandwich as well :) ,"Service is really lovely too , amb: Great place for a indulgent “burger” meal with a nic",Great place for a indulgent “burger” meal with a nice ambience too.
2474,"sandwich buns were not as soft as before, I didn’t find this meal as enjoyable as before, truffle hash browns ",,
2475,none,"""Lucky me and a few others who were ahead of me. First visit and I was told by a friend to drop by on weekdays instead and be...""",none
2476,"brioche bun with a runny egg, saussage patty or bacons, hashbrowns, salad,",,
2477,fluffy scrambled eggs,,
2478,"Love the fairfax creamy soft egg, added beef patty and avocado to it. The avocado goes well with the saltiness of the patty and egg. Refreshing orange juice to quench the thirst. Truffle hashbrowns far too salty for my liking",,
2479,"Pretty good burgers, don't expect too much",Quite a long queue (40minutes wait) but service was pretty good!,
2480,"Best burger in town!, Love their fairfax sandwich!, We ordered one with beef patty and one with bacon.,",,
2481,"Pretty good burgers with consistent quality, Fairfax with bacon add on, and the truffle hash. ",Service was prompt as well. ,
2482,"Delicious and hearty egg sandwiches, too greasy, Fairfax does taste great with bacon and arugula","Crowds have thinned considerably, easier to get seats now",
2483,The sides are really good. The burger is nice too. But I hope they offer option to select either ketchup or chilli. The ketchup kinda ruin the burger for me. Otherwise their eggs are really nice. Freshly squeezed fruit juice.,But I hope they offer option to select either ketchup or chilli.,
2484,"'Food was superb, seasoning was on point and bacon was the best. Ordered 2 Bacon sandwiches and 2 cheeseburgers, with truffle hash browns which were delicious.'",'Service was great','atmosphere was cozy.'
2485,,,Really nothing special...
2486,"""Love the buns and the creamy eggs""","""However, my overall experience was spoilt by the door host.""",
2487,average tasting bun,nothing definitive,nothing of that sort
2488,Simple food but done well!,Friendly and cheerful staff!,
2489,Perfect breakfast,Special thanks to Jamie for warm hospitality,
2490,"Egg is soft and tasty, and I love the orange juice",Food and service were both good,
2491,"'Loved the cheeseburger and BEC. Hash browns were nice, biscuit was a bit tough and dry'",'Overall great experience nonetheless ✨',
2492,"I really enjoyed their Sausage, Egg & Cheese Sandwich. I added bacon to it and it was all just so damn good!",The service was friendly,The atmosphere was cozy. 
2493,"Food tastes great, change an ingredient, Paid an additional dollar fifty to change the sunny side to scramble, Felt a bit cheated. ","When asked if you want to change an ingredient, please check if you need to pay more, Cashier should have at least told me there's an extra charge. ",The hype killed the experience for me.
2494,"cheese burger, beef and egg, Eggslut",,
2495,'Food is delicious','service is great',
2496,The food was excellent,"the service was friendly, amb: th",the ambiance was warm and inviting.
2497,"""food is quite unique"", ""eggs with burger"", ""did exceptionally well"", ""come back when there isn't queue""  ","""queue is not long""  ",
2498,'Food was amazing!' ,'Service was great!' ,'Love it! 5/5'
2499,"'really bad food, eggs are not even salted'","'The service was great, the waiter was very helpful and friendly', amb: 'Th",'The ambience was very cozy and warm'
2500,"extremely tasty, worth the price",,
2501,"'Food was as per what we ordered. Tasty, worth the money'",'staff were very welcoming','A must try is the fairfax. Will definitely visit again'
2502,"Great food, Yums! ","great service!👍 , amb: grea",great ambience
2503,"Their brioche bun is very soft, the scramble egg is nicely cooked and flavored. ",NA ,
2504,2 x single cheeseburgers with add on scrambled eggs,wasn't crowded thankfully,6pm
2505,'burger experience','not disappointed','long queue under the hot sun'
2506,"Enjoyable burgers! The Brioche buns are fluffy, and the scrabled eggs with yolk sauce is very good.",Just a tad expensive - a sandwich plus latte costs S$18,
2507,"'buttermilk biscuit, it is hard and tasteless'",,
2508,,THANK YOU FOR THE EXPERIENCE,
2509,'food','Awesome service',
2510,'Food was great! Very tasty and hearty! The chocolate chip cookie could have been more moist.',,
2511,"eggslut, toast, truffle hash browns,","no queue,",
2512,"coffee, mashed potato, egg ",long waiting time ,
2513,"'Loved the hand brew coffee, it was by common man roasters. Meal portions were small but tasty'",,
2514,Fairfax sandwich is nice.,,Crowd has died down already since opening but there is a steady stream of people.
2515,"'Felt that the food was a little underwhelming, huge hype but in reality it was meh. The truffle hash browns were a winner for me but those are from frozen. I do appreciate that the avocados were fresh and the bacon was the right amount of...'",,
2516,,,Near Far East Plaza
2517,"signature scrambled, cheese burger, truffle oil hash browns, honey biscuits,","detailed and friendly,",
2518,salty & oily,Queue was alright,
2519,"'Food is nice', 'Like their coffee', 'My kids love their truffle harshbrown'",,'Just a little comment that their flooring feel a bit slippery when I walk.'
2520,"Taste wise, burgers were just average. Truffle hash browns don't even have the slightest hint of truffle. Nothing fantastic. Don't think worth revisiting. Disappointing.",,
2521,,,
2522,"Good, have, breakfast,",,
2523,"""Fairfax sandwich"", ""scrambled egg"", ""caramelised onions"", ""siracha sauce""",,
2524,,,
2525,"Ingredients are fresh, The beef quality is good",,
2526,Try the truffle hash browns. ,"friendly service , amb: coz",cozy ambiance
2527,"buns were very soft and everything went well together, hashbrowns were a tad too salty for my liking, worth a try,",,
2528,Scrambled egg was extremely fluffy,,
2529,Great food.,"NA, amb: Grea",Great ambience.
2530,"Hash brown abit salty, can’t taste the truffle, Overall is okay to try, price slightly expensive though. ","average waiting time 10-15mins for seating, Total meal: $21",
2531,"'The food was average at best - sandwiches were ordinary, nothing innovative or...'","'Sad is how I would describe my experience at Eggslut. I gave in to the hype, and queued for 30min under the hot sun and ended up with massive disappointment.'",
2532,The food was delicious,"the service was top-notch, amb: th",the ambience was cozy
2533,Terrible coffee ,when I asked for a new coffee they said I already drank it ,Overpriced hype
2534,The craft soda was equally good as well. I love how soft the buns are and how they compliment the fillings.,Queue is always crazy here but was worth it.,
2535,eggs,,
2536,"egg tastes really good, brioche bun is so soft, cheese burger add bacon, egg salad sandwich,","service, amb",ambiance
2537,"Fluffy bun with wholesome smooth egg, add bacon to the fairfax instead of the beef patty",,
2538,"'very nice and delicious', 'most importantly the portion is generous', 'we enjoyed it quite a lot', 'ordered the Fairfax and Gaucho' ",,'love the location' 
2539,"Salty and soggy, Overhyped, price is not cheap for the food and drinks, No food I also will not eat again!!",,
2540,"'enjoyed both the Fairfax and Truffle Hashbrowns thoroughly! Well-seasoned, flavourful and not overly greasy'",,
2541,"Burgers are pretty normal and nothing great to shout of but cost between $12-$17 with just eggs + few pieces of bacon, sauce sandwiched between a bun",Don't understand what's the hype and queue for this place,
2542,Additional $2.50 for avocado,Probably won’t patronize again if need to queue,
2543,replace the brioche bun with arugula salad,,
2544,'Food is consistently good (today was my second time trying Eggslut)! Their salted chocolate chip cookie was surprisingly good too.','Arrived at 12:55pm on a Saturday and waited for about 20mins to get seated.',
2545,,Extremely poor and double standard customer service! Customer directly in front of me is able to enter and wait for her friend in the shop but they told me they will only allow sitting once my friend is here?! Not consistent with their rules and simply thinks that I’m blind.,
2546,'Fabulous!' I exclaimed after tasting the food.,"The service was also top-notch, amb: and th",and the ambience was cozy and comfortable.
2547,'Very tasty','excellent','pleasant'
2548,'food is excellent. Nothing too salty or too oilly. Portion is decent for the price paid. Great place for a nice burger at a decent price in town.','Service is good',
2549,"above average burgers, scrambled and sunny side up eggs, hashbrowns, chocolate chip cookie, butter biscuits, awful and overpriced,",,
2550,none,"queue wasnt too bad, it was probably just 5-10mins wait",none
2551,"Bacon Egg & Cheese, Buttermilk Biscuit, bacon is crisp, a little salty, Egg is pretty good, biscuit was a surprise, honey butter,",queue moves surprisingly fast,
2552,"Egg not creamy enough, Bun (bread) not fluffy enough",,
2553,Burgers were nice,No queue on a Saturday,
2554,"double cheeseburger, truffle, hamburger, sandwich,",often a line in front of the store,newly opened
2555,"Fairfax sandwich was pretty good, Orange juice was exactly like the ones u buy from a supermarket, overpriced for its size, wasn't even enough to fill me up,",,
2556,"Food taste meh, Wonder what the hype is all about, Not worth queuing",,
2557,"""It is indeed a different style, but tasty. But only if you eat it as composed. If you drop certain elements it will be not the same. Clear, but for this kind of food it is even more significant. At the end, it is a good alternative to put in your fast food plan."" ",NA ,
2558,Best egg sandwich in the whole wide world,,
2559,'Scrambled eggs are my favorite and also the bacon! Bun is so soft and...',"'Some say the food is overpriced, others say it's over-rated.'",
2560,"bacon, egg & cheese sandwich is pretty good! bacon is very crispy, egg is flavourful and fluffy, the only down side is they add too much ketchup! overpowers the true taste of the burger.",rmb to ask them to tone it down if u don't want to ...,
2561,"fairfax, different flavours/herbs, good balance, enjoyed this burger, overpriced,",,
2562,"The food here,",The service was great,the atmosphere was so inviting
2563,'Food is amazing',"'Coffee is awesome', 'Was greeted by NC'",'Have no idea what to order so...'
2564,Had the Fairfax + avocado and it was super filling for the price,,
2565,Great for a hearty brunch.,Queue is not that long now.,
2566,Over-rated food,Horrible service,
2567,oily eggy bread,"queue, pricey, Considered pricey, don’t have to, don’t find any satisfaction",
2568,"Creamy and rich eggs on a fluffy brioche were quite flawless, the poach egg on mash is a winning combo, hashbrowns arrive slightly soggy but the duck fat did make it quite yummy,",Didn't have to queue for long at 1030am on lunar new year eve,
2569,"'The most delicious eggs encased in warm, pillowy brioche bun. Go for Fairfax and you won’t regret. The bacon was a tad too salty.'",'Friendly staff gave us cute egg spectacles!',
2570,"Seriously overated food chain from the US of A, Consider yourself as eggslut food court rather than a restaurant since everything has to DIY",,
2571,"Order was done at the entrance. Ordered cheese burger, Fairfax sandwich, truffle hash brown and ice black coffee. Serving size was above average. One burger is probably more than enough for breakfast",Almost no queue in the early morning. Order was done at the entrance,
2572,'The cheeseburger are really delicious!' ,NA ,
2573,"""food taste normal"", ""food would have taste better"", ""price, the food would have taste better with some wow experience""",,
2574,The food was awesome and savoury. ,Thank you for the meal. ,
2575,"Bacon, egg & cheese on a greasy bun for S$12. Salty, hard bacon, yolk was broken, stuck on the bottom of paper holder. Where’s the cheese? The tomato ketchup was overwhelming.",staff was polite,
2576,,Good service by Nicholas and team!,
2577,'The brioche buns seems to be left out for quite awhile and isn't toasted before being served. The eggs are nothing special as well...',,
2578,"brioche buns for the burgers were delicious and fluffy, and the meats were tender and juicy, order the sunny-side-up aka ""over medium egg""  ","efficient and pleasant,",Bit of a queue on a Monday night
2579,Nice egg sandwiches!,Very confusing queue with nobody to maintain order as people just cut queue.,
2580,"simple food, premium ingredients, superb culinary skills, Fairfax tastes really mediocre, cloying mushy scrambled eggs, dry, airy and bland brioche bun, Overhyped",,
2581,,Not worth the queue,
2582,sooooooooo good I had seconds,,
2583,"Nice bun, warm sandwiches, Fresh orange juice",queue,
2584,The food was delicious,the service was fast,the atmosphere was cozy.
2585,,"Nicholas for being such a stud, offered to change our table, served drinking water immediately, offered us",
2586,"sandwiches, sides,","queue, queue for 15 min,",
2587,Coffee biscuit and shut ,Long queue but worth to try ,Just like California vibe
2588,"Greasy, overpriced, Go for the hype once",,
2589,Nice lunch choice,,
2590,"Double beef patties cheese burger with add on avocado, patties aren't salty, patties and egg ain't hot enough to melt the cheese, Overall it's a good experience","No queue at all, willing to visit again",
2591,'tasty',,
2592,The food was absolutely fulfilling. Had the scrambled add on bacon and the egg texture was perfect and holds together with biting into it. The amount of bacon was adequate. The truffle hash brown is good,,
2593,All the egg that you could get :p ,NA ,This is a nice place
2594,"good food, Ordered fairfax with bacon and mini hashbrowns, Hashbrowns are fried nice and crispy, Fairfax would be better on its own, The additional bacon is too salty for me. ","overall, good service, Lucky to dine in without queue",
2595,The burgers are good and the egg in the burgers held well,Would go many times again and again,
2596,"Bacon, Ham & Cheese burger, brioche bun,","queue for about 20 mins,",hot sun
2597,very salty,,
2598,Expensive fare for whats essentially fast food,Not sure what's the hype about,
2599,"overpriced food, worst place ever, pay so much for just eggs, cooked in that simple way, I can do that at my own home,",,
2600,,,Great place
2601,Not the kind of food that I would stand in line for. ,Worth to go and give it a try if there isn't any queue. ,
2602,"'egg and bacon sandwich', '6 small round pieces of has brown', 'cage-free eggs' ",,
2603,"Too greasy, slightly expensive, Not worth the long queue",,
2604,"nothing fantastically great, expensive ,","no Q,",dirty
2605,"Good food, live up to the hype,",queues do move pretty fast,
2606,Good food ,"Staff are professional and polite , amb",ambience and Background music
2607,Sandwiches were nice,no way worth the price,overrated
2608,,,
2609,'Food is great' ,NA ,'Place is great'
2610,"The brioche buns are delicious, sandwiches are ok","long queue / wait time, took around 30 mins to takeaway, long queue to dine-in",
2611,"hashbrowns were soggy - obviously cooked too long ago and left out, both sandwiches (fairfax and bacon) were served COLD, not even warm. ",,
2612,"so-so, not much varieties",,
2613,Burgers and mashed potato are nice and juicy,,
2614,"'signature burger is ok', 'cheeseburger is delicious', 'pickles', 'running egg yolk', 'pan fried brioche buns', 'iced coffee',",'waited about half an hour',
2615,Food is not bad though limited selection. Egg yolk is more orangy than typical egg.,,A hip and trendy place 😊
2616,"scrambled eggs, aioli sauce, fairfax sandwich,",,
2617,The food here is amazing,"the service is top-notch, amb: th",the ambience is cozy and inviting
2618,egg-gauncho sandwich,"NA, amb: Lovel",Lovely ambience
2619,Average burger with truffles hash brown,,
2620,The food is awesome,Go before 10am for shorter queue time,
2621,"Fairfax sandwich, add the patty, shake shack, much better option,","Mediocre,",
2622,"buttery brioche, creamy scrambled eggs, slightly spicy mayo, bacon or beef, truffle hashbrowns, greasiness, oily,",,
2623,"sausage bun, bacon bun, shake Shack,","8 am, not much of a queue,",
